음 식 명|중량(g)|에너지(kcal)|탄수화물(g)|단백질(g)|지방(g)|당류(g)|나트륨(mg)
우거지해장국|600|158.496|14.8564|14.1856|5.7252|0|1972.088
우렁된장국|500|245.275|21.19|24.72|7.05|0|2150.425
갈비탕|600|240.396|8.208|18.672|14.334|0|1688.43
감자탕|900|963.7085|49.6375|60.553|58.2825|0.9006|2439.3815
곰탕|300|181.416|15.498|16.593|5.436|0|713.643
매운탕|600|402.792|18.828|37.164|21.564|1.548|2130.954
꼬리곰탕|700|750.6948|10.9344|54.8663|52.8027|0|764.7313
꽃게탕|600|240.654|20.772|31.704|5.49|0|2268.858
낙지탕|600|186.102|11.766|29.214|2.73|0|1711.122
내장탕|700|549.808|13.699|56.973|31.507|0|2383.073
닭곰탕|650|527.7025|15.392|58.877|24.141|0|1005.186
닭볶음탕|300|371.811|19.173|33.846|17.319|2.016|1030.455
지리탕|600|260.5915|10.5235|38.3435|8.359|0|1685.164
도가니탕|800|563.648|5.584|54.6|34.768|0|599.272
삼계탕|1000|881.3245|44.08|76.646|40.5745|0|1211.3165
설렁탕|600|422.76|10.938|52.71|18.204|0|725.16
알탕|700|424.125|49.5225|49.2075|6.9795|14.85|2393.286
연포탕|1000|541.19|21.64|91.65|9.2|0|2307.07
오리탕|600|480.822|24.156|43.212|21.636|1.032|1849.926
추어탕|700|338.667|24.416|37.366|11.508|1.806|2077.152
해물탕|600|272.262|19.584|41.742|3.384|1.548|2071.986
닭개장|700|317.0704|19.1828|33.7416|14.9464|0|1786.0336
육개장|440|137.8564|11.6223|13.4387|5.8672|0|1112.7844
뼈해장국|1000|692.93|25.42|67.92|37.16|0|3192.46
미역오이냉국|450|77.346|19.7415|5.607|1.3545|8.991|1483.6005
고등어찌개|600|605.31|32.034|59.16|28.2|0|2599.71
꽁치찌개|300|356.634|14.478|29.511|20.685|0.7224|1296.33
동태찌개|800|369.688|18.944|59.568|7.8|1.376|2487.544
부대찌개|600|525.984|46.806|27.714|28.482|0|2689.188
된장찌개|400|147.064|15.976|11.708|5.268|0|2021.78
